packet_count,unique_dst_ports,avg_packet_size,tcp_flag,udp_flag,flow_duration,label
2,2,491,1,0,0,0
13,1,146,0,1,0,0
123,6,0,1,0,0,1
5,5,8385,1,0,0,0
30,32,619,1,0,0,0
121,19,0,1,0,0,1
166,9,0,1,0,0,1
117,16,0,1,0,0,1
270,23,0,1,0,0,1
133,8,0,1,0,0,1
205,12,0,1,0,0,1
199,3,0,1,0,0,1
3,7,2538,1,0,0,0
2,2,334,1,0,0,1
233,1,0,1,0,0,1
96,16,0,1,0,0,1
8,9,14088,1,0,0,0
1,1,18,0,0,0,1
3,3,849,1,0,0,0
9,10,1521,1,0,0,0
223,23,0,1,0,0,1
280,17,0,1,0,0,1
8,10,12158,1,0,0,0
1,1,252,0,1,5607,0
248,2,0,1,0,0,1
1,1,14858,1,0,507,0
279,7,0,1,0,0,1
5,22,6815,1,0,0,0
14,14,10714,1,0,0,0
33,33,1641,1,0,0,0
1,12,8,0,0,0,1
57,16,0,1,0,0,1
9,9,858,1,0,0,0
2,1,0,1,0,0,1
181,181,90,0,1,0,0
2,2,252,0,1,1,0
122,202,86,0,1,0,0
205,17,0,1,0,0,1
22,28,2626,1,0,0,0
228,13,0,1,0,0,1
50,11,0,1,0,0,1
262,12,0,1,0,0,1
1,2,1963,1,0,2,0
4,2,251,0,1,9052,0
11,11,3296,1,0,0,0
108,11,0,1,0,0,1
80,80,28,0,1,0,1
44,44,1116,1,0,0,0
2,2,334,1,0,0,1
258,17,0,1,0,0,1
10,10,800,1,0,0,0
61,4,0,1,0,0,1
2,2,28,0,1,0,1
26,42,1618,1,0,0,0
120,120,112,0,1,0,0
73,75,177,0,1,0,0
1,15,8,0,0,0,1
135,9,0,1,0,0,1
24,12,0,1,0,0,1
148,228,86,0,1,0,0
2,2,641,1,0,0,0
206,4,0,1,0,0,1
175,1,0,1,0,0,1
4,4,3104,1,0,0,0
63,10,0,1,0,0,1
1,1,1029,1,0,0,0
1,1,0,1,0,0,1
52,19,0,1,0,0,1
125,7,0,1,0,0,1
168,21,0,1,0,0,1
1,1,3099,1,0,0,0
145,16,0,1,0,0,1
3,2,181,0,0,0,0
9,14,84,0,1,0,0
138,6,0,1,0,0,1
1,1,12,1,0,0,0
276,9,0,1,0,0,1
10,27,3000,1,0,0,0
10,10,6004,1,0,0,0
248,8,0,1,0,0,1
2,31,4311,1,0,0,0
135,7,0,1,0,0,1
220,19,0,1,0,0,1
1,44,8,0,0,0,1
9,9,699,1,0,0,0
212,7,0,1,0,0,1
10,10,3987,1,0,0,0
250,13,0,1,0,0,1
132,15,0,1,0,0,1
3,2,251,0,1,315,0
11,11,1663,1,0,0,0
3,9,1836,1,0,0,0
109,189,88,0,1,0,0
146,18,0,1,0,0,1
300,6,0,1,0,0,1
1,2,3396,1,0,2,0
1,1,204,0,1,0,0
4,5,1009,1,0,0,0
2,2,252,0,1,1082,0
129,16,0,1,0,0,1
32,32,354,1,0,0,0
1,1,615,1,0,0,0
1,2,0,1,0,0,0
3,3,7505,1,0,0,0
82,82,28,0,1,0,1
1,1,1074,1,0,0,0
15,15,1431,1,0,0,0
2,3,9410,1,0,0,0
21,21,2571,1,0,0,0
1,1,0,1,0,0,0
3,7,552,1,0,0,0
2,2,2424,1,0,0,0
1,1,0,1,0,0,0
1,1,748,1,0,0,0
4,5,755,1,0,0,0
2,2,1,1,0,25950,1
110,17,0,1,0,0,1
4,1,250,0,1,0,0
6,6,1192,1,0,0,0
7,7,2974,1,0,0,0
246,20,0,1,0,0,1
272,19,0,1,0,0,1
259,8,0,1,0,0,1
9,10,603,1,0,240,0
294,6,0,1,0,0,1
1,1,147,1,0,0,0
96,178,92,0,1,0,0
1,1,1413,1,0,1,0
79,159,184,0,1,0,0
1,1,1176,1,0,26,0
190,20,0,1,0,0,1
135,5,0,1,0,0,1
2,2,375,1,0,0,0
1,1,1582,1,0,0,0
123,7,0,1,0,0,1
245,20,0,1,0,0,1
3,1,147,0,1,0,0
3,4,1273,1,0,0,0
263,263,1032,0,0,0,1
109,13,0,1,0,0,1
9,9,8673,1,0,0,0
145,8,0,1,0,0,1
250,2,0,1,0,0,1
8,8,2013,1,0,0,0
2,3,1202,1,0,0,0
2,2,10636,1,0,0,0
1,1,0,1,0,0,1
3,3,16405,1,0,0,0
2,2,334,1,0,0,1
13,4,0,1,0,0,1
87,1,0,1,0,0,1
2,2,497,1,0,0,0
292,13,0,1,0,0,1
295,18,0,1,0,0,1
143,15,0,1,0,0,1
278,277,124,0,1,0,0
1,1,748,1,0,0,0
102,19,0,1,0,0,1
1,46,8,0,0,0,1
251,3,0,1,0,0,1
4,4,8766,1,0,0,0
2,2,9,1,0,0,0
222,302,174,0,1,0,0
2,2,1766,1,0,0,0
260,4,0,1,0,0,1
2,2,1,1,0,9015,1
1,1,143,1,0,7,0
1,6,795,1,0,0,0
3,2,245,1,0,0,0
11,12,760,1,0,0,0
44,12,0,1,0,0,1
2,7,7062,1,0,0,0
511,511,1032,0,0,0,1
272,15,0,1,0,0,1
122,19,0,1,0,0,1
287,3,0,1,0,0,1
1,3,0,1,0,0,0
486,1,0,1,0,0,1
22,6,1,0,1,0,1
286,9,0,1,0,0,1
1,1,30,0,0,0,0
1,2,2411,1,0,1,0
1,1,19,1,0,0,0
1,1,990,1,0,0,0
35,34,28,0,1,0,1
28,2,0,1,0,0,1
108,18,0,1,0,0,1
101,5,0,1,0,0,1
1,2,1439,1,0,0,0
12,21,879,1,0,0,0
1,2,1535,1,0,15159,1
